Gene1	Gene2	PCC	P-Value	MR
Sobic.001G380700	Sobic.001G000400	0.44980389	0.000170525	0.747052234
Sobic.001G447800	Sobic.001G000400	0.245473952	0.048730327	0.638508342
Sobic.002G247800	Sobic.001G000400	0.393213879	0.001194155	0.592879333
Sobic.002G260600	Sobic.001G000400	0.358661948	0.003348359	0.547078963
Sobic.004G237000	Sobic.001G000400	0.260604605	0.036022593	0.27600596
Sobic.006G281900	Sobic.001G000400	0.24690023	0.04739396	0.15761304
Sobic.007G210200	Sobic.001G000400	0.45127375	0.000161364	0.3611378
Sobic.010G269700	Sobic.001G000400	0.531375769	5.26E-06	0.620479402
Sobic.007G065300	Sobic.001G000400	0.478455784	5.55E-05	0.479442592
Sobic.002G293100	Sobic.001G000400	0.282236365	0.022736425	0.680234242
Sobic.003G396600	Sobic.001G000400	0.370545589	0.0023782	0.411866558
Sobic.006G278400	Sobic.001G000400	0.600004894	1.28E-07	0.865207929
Sobic.001G062700	Sobic.001G008300	0.568900424	7.64E-07	0.965118461
Sobic.001G143400	Sobic.001G008300	0.815421631	1.34E-16	0.937582559
Sobic.001G299600	Sobic.001G008300	0.681080503	4.28E-10	0.909153563
Sobic.001G380700	Sobic.001G008300	0.957835285	7.86E-36	0.998258099
Sobic.001G447800	Sobic.001G008300	0.69762107	1.07E-10	0.955419586
Sobic.001G488400	Sobic.001G008300	0.658884853	2.42E-09	0.860854931
Sobic.002G050700	Sobic.001G008300	0.838435914	2.93E-18	0.828920852
Sobic.002G068100	Sobic.001G008300	0.551314157	1.94E-06	0.855107764
Sobic.002G247800	Sobic.001G008300	0.452451529	0.000154352	0.521918798
Sobic.002G260600	Sobic.001G008300	0.797606637	1.83E-15	0.810861321
Sobic.003G105200	Sobic.001G008300	0.762124208	1.66E-13	0.815058843
Sobic.004G237000	Sobic.001G008300	0.834065671	6.34E-18	0.912193679
Sobic.006G281900	Sobic.001G008300	0.641060241	8.79E-09	0.900163089
Sobic.007G210200	Sobic.001G008300	0.840216969	2.13E-18	0.675314154
Sobic.010G191100	Sobic.001G008300	0.763561486	1.40E-13	0.86270439
Sobic.010G269700	Sobic.001G008300	0.620859757	3.44E-08	0.148393921
Sobic.007G065300	Sobic.001G008300	0.638430161	1.06E-08	0.314838157
Sobic.002G293100	Sobic.001G008300	0.3599632	0.00322724	0.739954552
Sobic.003G396600	Sobic.001G008300	0.774664669	3.70E-14	0.584557543
Sobic.006G278400	Sobic.001G008300	0.712496781	2.81E-11	0.364485406
Sobic.001G062700	Sobic.001G009700	0.423371961	0.000441555	0.914504777
Sobic.001G143400	Sobic.001G009700	0.643088879	7.62E-09	0.793446978
Sobic.001G299600	Sobic.001G009700	0.378012131	0.00190557	0.762963828
Sobic.001G380700	Sobic.001G009700	0.682858532	3.71E-10	0.739031499
Sobic.001G447800	Sobic.001G009700	0.294455724	0.017267408	0.629629917
Sobic.001G488400	Sobic.001G009700	0.445322786	0.000201479	0.670531977
Sobic.002G068100	Sobic.001G009700	0.319575857	0.009460632	0.566408354
Sobic.002G260600	Sobic.001G009700	0.84877275	4.31E-19	0.958926582
Sobic.003G105200	Sobic.001G009700	0.589952364	2.32E-07	0.532608673
Sobic.004G237000	Sobic.001G009700	0.696180684	1.21E-10	0.569218358
Sobic.004G237300	Sobic.001G009700	0.850168392	3.29E-19	0.803381125
Sobic.010G191100	Sobic.001G009700	0.389242728	0.001352103	0.128158142
Sobic.010G269700	Sobic.001G009700	0.841831348	1.59E-18	0.7681897
Sobic.001G164500	Sobic.001G009700	0.452728296	0.000152746	0.797879436
Sobic.007G065300	Sobic.001G009700	0.85359231	1.68E-19	0.906600968
Sobic.003G396600	Sobic.001G009700	0.744455186	1.18E-12	0.580662903
Sobic.006G278400	Sobic.001G009700	0.802805503	8.79E-16	0.678863664
Sobic.003G008700	Sobic.001G009700	0.718368665	1.62E-11	0.615087191
Sobic.004G123200	Sobic.001G009700	0.695461554	1.28E-10	0.462717444
Sobic.008G020300	Sobic.001G009700	0.700558973	8.24E-11	0.368129192
Sobic.001G468400	Sobic.001G012600	0.414518223	0.00059708	0.997866616
Sobic.001G380700	Sobic.001G013400	0.856234899	9.85E-20	0.905062405
Sobic.002G247800	Sobic.001G013400	0.600456424	1.24E-07	0.640855681
Sobic.004G237300	Sobic.001G013400	0.922386636	1.02E-27	0.8562747
Sobic.006G281900	Sobic.001G013400	0.539698257	3.50E-06	0.5734085
Sobic.007G210200	Sobic.001G013400	0.895458523	7.99E-24	0.729270264
Sobic.008G103500	Sobic.001G013400	0.899417358	2.52E-24	0.776778268
Sobic.007G065300	Sobic.001G013400	0.698178844	1.01E-10	0.41668422
Sobic.001G380700	Sobic.001G016800	0.841951176	1.55E-18	0.888736292
Sobic.002G247800	Sobic.001G016800	0.605612811	9.05E-08	0.661698803
Sobic.004G237300	Sobic.001G016800	0.937366988	1.49E-30	0.920404467
Sobic.007G210200	Sobic.001G016800	0.921526047	1.42E-27	0.893537216
Sobic.007G065300	Sobic.001G016800	0.726202847	7.60E-12	0.488106322
Sobic.001G380700	Sobic.001G027500	0.682916072	3.69E-10	0.752331335
Sobic.006G281900	Sobic.001G027500	0.549137048	2.17E-06	0.653051115
Sobic.007G065300	Sobic.001G027500	0.701957908	7.28E-11	0.51742742
Sobic.003G396600	Sobic.001G027500	0.823957057	3.47E-17	0.720909636
Sobic.006G278400	Sobic.001G027500	0.813559345	1.79E-16	0.678233602
Sobic.001G062700	Sobic.001G030100	0.535980301	4.20E-06	0.952391582
Sobic.001G143400	Sobic.001G030100	0.7174559	1.77E-11	0.878066935
Sobic.001G299600	Sobic.001G030100	0.555520218	1.56E-06	0.863446744
Sobic.001G380700	Sobic.001G030100	0.668150961	1.20E-09	0.768982955
Sobic.001G164500	Sobic.001G030100	0.543675406	2.87E-06	0.862037488
Sobic.007G065300	Sobic.001G030100	0.665845716	1.43E-09	0.499677051
Sobic.002G293100	Sobic.001G030100	0.40383922	0.000849972	0.786320509
Sobic.003G396600	Sobic.001G030100	0.650836415	4.38E-09	0.522404565
Sobic.006G278400	Sobic.001G030100	0.640464913	9.17E-09	0.384095756
Sobic.001G143400	Sobic.001G031700	0.81981183	6.76E-17	0.922676471
Sobic.001G447800	Sobic.001G031700	0.442318921	0.000225026	0.694732174
Sobic.001G488400	Sobic.001G031700	0.460485542	0.000113505	0.681779921
Sobic.002G068100	Sobic.001G031700	0.445064299	0.000203412	0.645965333
Sobic.002G247800	Sobic.001G031700	0.700294256	8.43E-11	0.902166247
Sobic.002G260600	Sobic.001G031700	0.818511855	8.30E-17	0.821597538
Sobic.003G105200	Sobic.001G031700	0.646883875	5.82E-09	0.560571182
Sobic.004G237000	Sobic.001G031700	0.72164256	1.18E-11	0.594196897
Sobic.007G210200	Sobic.001G031700	0.928823656	7.36E-29	0.912038315
Sobic.010G191100	Sobic.001G031700	0.480717168	5.06E-05	0.367700762
Sobic.010G269700	Sobic.001G031700	0.896662468	5.65E-24	0.76166492
Sobic.007G065300	Sobic.001G031700	0.802606806	9.04E-16	0.702066191
Sobic.001G062700	Sobic.001G035800	0.486420724	3.99E-05	0.922099823
Sobic.001G299600	Sobic.001G035800	0.511056576	1.36E-05	0.837619701
Sobic.001G380700	Sobic.001G035800	0.747169889	8.80E-13	0.804053566
Sobic.001G447800	Sobic.001G035800	0.383028223	0.001637236	0.663423
Sobic.001G488400	Sobic.001G035800	0.532835813	4.90E-06	0.748924453
Sobic.002G068100	Sobic.001G035800	0.41990649	0.0004974	0.622786941
Sobic.002G247800	Sobic.001G035800	0.547718288	2.33E-06	0.58568016
Sobic.002G260600	Sobic.001G035800	0.775045781	3.53E-14	0.790366729
Sobic.003G105200	Sobic.001G035800	0.655469981	3.12E-09	0.589228885
Sobic.004G237000	Sobic.001G035800	0.73043518	5.00E-12	0.674106211
Sobic.004G237300	Sobic.001G035800	0.914388657	1.98E-26	0.924865693
Sobic.007G210200	Sobic.001G035800	0.832823047	7.86E-18	0.66261488
Sobic.010G191100	Sobic.001G035800	0.502151975	2.03E-05	0.42372294
Sobic.010G269700	Sobic.001G035800	0.739169369	2.05E-12	0.413206863
Sobic.001G164500	Sobic.001G035800	0.538220098	3.76E-06	0.842259354
Sobic.001G062700	Sobic.001G042600	0.392252018	0.001230804	0.905438682
Sobic.001G299600	Sobic.001G042600	0.448411491	0.000179641	0.797508232
Sobic.001G380700	Sobic.001G042600	0.841695423	1.63E-18	0.883970569
Sobic.001G447800	Sobic.001G042600	0.439705903	0.000247531	0.691393357
Sobic.001G488400	Sobic.001G042600	0.506759302	1.65E-05	0.723481801
Sobic.002G068100	Sobic.001G042600	0.440200506	0.000243119	0.639211991
Sobic.002G260600	Sobic.001G042600	0.826342723	2.35E-17	0.855684796
Sobic.003G105200	Sobic.001G042600	0.666796042	1.33E-09	0.583873395
Sobic.004G237000	Sobic.001G042600	0.748336109	7.76E-13	0.670900561
Sobic.004G312700	Sobic.001G042600	0.938809444	7.33E-31	0.955080566
Sobic.010G191100	Sobic.001G042600	0.523360016	7.71E-06	0.462319454
Sobic.010G269700	Sobic.001G042600	0.853225041	1.80E-19	0.6225859
Sobic.003G251700	Sobic.001G042600	0.883927416	1.80E-22	0.73886006
Sobic.004G051900	Sobic.001G042600	0.551828959	1.89E-06	0.51902712
