TF_Locus,Matrix_ID,Matrix_Type,Family
NA,TFmatrixID_0133,NA,AT-Hook
NA,TFmatrixID_0150,NA,AT-Hook
NA,TFmatrixID_0178,NA,bHLH
NA,TFmatrixID_0200,NA,bZIP
NA,TFmatrixID_0201,NA,bZIP
NA,TFmatrixID_0228,NA,CPP
NA,TFmatrixID_0257,NA,EIL
NA,TFmatrixID_0476,NA,AT-Hook
NA,TFmatrixID_0491,NA,TBP
NA,TFmatrixID_0551,NA,MYB
NA,TFmatrixID_0555,NA,bZIP
NA,TFmatrixID_0563,NA,MYB
NA,TFmatrixID_0569,NA,TBP
NA,TFmatrixID_0570,NA,TBP
NA,TFmatrixID_0571,NA,TBP
NA,TFmatrixID_0572,NA,TBP
NA,TFmatrixID_0579,NA,MYB
NA,TFmatrixID_0580,NA,AT-Hook
NA,TFmatrixID_0581,NA,AT-Hook
NA,TFmatrixID_0585,NA,TBP
NA,TFmatrixID_0295,NA,HD-ZIP
NA,TFmatrixID_0296,NA,ZF-HD
NA,TFmatrixID_0310,NA,Trihelix
NA,TFmatrixID_0311,NA,Trihelix
NA,TFmatrixID_0312,NA,Trihelix
NA,TFmatrixID_0316,NA,Trihelix
NA,TFmatrixID_0323,NA,MYB_related
NA,TFmatrixID_0476,NA,AT-Hook
NA,TFmatrixID_0324,NA,G2-like
NA,TFmatrixID_0491,NA,TBP
NA,TFmatrixID_0467,NA,WRKY
NA,TFmatrixID_0474,NA,MYB
NA,TFmatrixID_0327,NA,G2-like
NA,TFmatrixID_0365,NA,MYB_related
NA,TFmatrixID_0366,NA,MYB
NA,TFmatrixID_0368,NA,G2-like
NA,TFmatrixID_0371,NA,ARR-B
NA,TFmatrixID_0374,NA,MYB_related
NA,TFmatrixID_0417,NA,GeBP
NA,TFmatrixID_0418,NA,TBP
NA,TFmatrixID_0419,NA,TBP
AT1G01030,TFmatrixID_0124,Inferred,B3
AT1G01060,TFmatrixID_1237,Direct,MYB_related
AT1G01060,TFmatrixID_1242,Direct,MYB_related
AT1G01060,TFmatrixID_0369,Inferred,MYB_related
AT1G01250,TFmatrixID_0119,Inferred,ERF
AT1G01250,TFmatrixID_0121,Inferred,ERF
AT1G01250,TFmatrixID_0080,Inferred,ERF
AT1G01250,TFmatrixID_0088,Inferred,ERF
AT1G01250,TFmatrixID_0783,Direct,ERF
AT1G01250,TFmatrixID_0754,Direct,ERF
AT1G01250,TFmatrixID_0118,Inferred,ERF
AT1G01260,TFmatrixID_0158,Direct,bHLH
AT1G01520,TFmatrixID_0320,Inferred,MYB_related
AT1G01720,TFmatrixID_1609,Direct,NAC
AT1G01720,TFmatrixID_1608,Direct,NAC
AT1G01720,TFmatrixID_1606,Direct,NAC
AT1G01720,TFmatrixID_0382,Inferred,NAC
AT1G01720,TFmatrixID_1353,Direct,NAC
AT1G01720,TFmatrixID_1302,Direct,NAC
AT1G01720,TFmatrixID_1602,Direct,NAC
AT1G01720,TFmatrixID_1604,Direct,NAC
AT1G01720,TFmatrixID_1607,Direct,NAC
AT1G01720,TFmatrixID_1603,Direct,NAC
AT1G01720,TFmatrixID_1610,Direct,NAC
AT1G01720,TFmatrixID_1605,Direct,NAC
AT1G01720,TFmatrixID_1601,Direct,NAC
AT1G01720,TFmatrixID_0381,Inferred,NAC
AT1G02030,TFmatrixID_0213,Inferred,C2H2
AT1G02065,TFmatrixID_0523,Direct,SBP
AT1G02230,TFmatrixID_1304,Direct,NAC
AT1G02230,TFmatrixID_1314,Direct,NAC
AT1G02250,TFmatrixID_1309,Direct,NAC
AT1G03040,TFmatrixID_0177,Inferred,bHLH
AT1G03800,TFmatrixID_0059,Inferred,ERF
AT1G03800,TFmatrixID_0053,Inferred,ERF
AT1G03800,TFmatrixID_0698,Direct,ERF
AT1G03800,TFmatrixID_0062,Inferred,ERF
AT1G03800,TFmatrixID_0735,Direct,ERF
AT1G03800,TFmatrixID_0060,Inferred,ERF
AT1G03800,TFmatrixID_0061,Inferred,ERF
AT1G03800,TFmatrixID_0075,Inferred,ERF
AT1G03840,TFmatrixID_0485,Inferred,C2H2
AT1G03840,TFmatrixID_0972,Direct,C2H2
AT1G03840,TFmatrixID_0959,Direct,C2H2
AT1G03970,TFmatrixID_0202,Inferred,bZIP
AT1G03970,TF_motif_seq_0424,Direct,bZIP
AT1G04370,TFmatrixID_0106,Inferred,ERF
AT1G04370,TFmatrixID_0071,Inferred,ERF
AT1G04370,TFmatrixID_0113,Inferred,ERF
AT1G04370,TFmatrixID_0103,Inferred,ERF
AT1G04370,TFmatrixID_0101,Inferred,ERF
AT1G04370,TFmatrixID_0102,Inferred,ERF
AT1G04370,TFmatrixID_1558,Direct,ERF
AT1G04370,TFmatrixID_0512,Inferred,ERF
AT1G04370,TFmatrixID_0082,Inferred,ERF
AT1G04370,TFmatrixID_0079,Inferred,ERF
AT1G04370,TFmatrixID_0075,Inferred,ERF
AT1G04370,TFmatrixID_0060,Inferred,ERF
AT1G04880,TFmatrixID_0788,Direct,NA
AT1G04880,TFmatrixID_0793,Direct,NA
AT1G05230,TFmatrixID_0280,Inferred,HD-ZIP
AT1G05230,TFmatrixID_0288,Inferred,HD-ZIP
AT1G05230,TFmatrixID_0290,Inferred,HD-ZIP
AT1G05805,TFmatrixID_0176,Inferred,bHLH
AT1G06070,TFmatrixID_0876,Direct,bZIP
AT1G06070,TFmatrixID_0188,Inferred,bZIP
AT1G06070,TFmatrixID_0874,Direct,bZIP
AT1G06160,TFmatrixID_0054,Direct,ERF
AT1G06180,TFmatrixID_1188,Direct,MYB
AT1G06180,TFmatrixID_1183,Direct,MYB
AT1G06280,TFmatrixID_1117,Direct,LBD
AT1G06280,TFmatrixID_1113,Direct,LBD
AT1G06850,TFmatrixID_0845,Direct,bZIP
AT1G06850,TFmatrixID_0832,Direct,bZIP
AT1G07640,TF_motif_seq_0239,Direct,Dof
AT1G08000,TFmatrixID_0259,Direct,GATA
AT1G08010,TFmatrixID_0929,Direct,GATA
AT1G08010,TFmatrixID_0260,Direct,GATA
AT1G08320,TFmatrixID_0490,Inferred,bZIP
AT1G08320,TFmatrixID_0199,Inferred,bZIP
AT1G08320,TFmatrixID_0197,Inferred,bZIP
AT1G08320,TFmatrixID_0196,Inferred,bZIP
AT1G08320,TFmatrixID_0185,Inferred,bZIP
AT1G08320,TFmatrixID_0191,Inferred,bZIP
AT1G08320,TFmatrixID_0533,Inferred,bZIP
AT1G08320,TFmatrixID_1557,Direct,bZIP
AT1G08320,TFmatrixID_0850,Direct,bZIP
AT1G08320,TFmatrixID_0829,Direct,bZIP
AT1G08320,TFmatrixID_0195,Inferred,bZIP
AT1G08810,TFmatrixID_0346,Inferred,MYB
AT1G08810,TFmatrixID_1213,Direct,MYB
AT1G08970,TF_motif_seq_0367,Direct,NF-YC
AT1G09030,TF_motif_seq_0257,Direct,NF-YB
AT1G09030,TFmatrixID_0998,Direct,NF-YB
AT1G09530,TFmatrixID_0111,Direct,bHLH
AT1G09530,TFmatrixID_0112,Direct,bHLH
AT1G09530,TFmatrixID_0597,Direct,bHLH
AT1G09530,TFmatrixID_0159,Direct,bHLH
AT1G09530,TFmatrixID_0559,Direct,bHLH
AT1G09530,TFmatrixID_0505,Direct,bHLH
AT1G09530,TF_motif_seq_0300,Direct,bHLH
AT1G09530,TFmatrixID_0558,Direct,bHLH
AT1G09540,TFmatrixID_1148,Direct,MYB
AT1G09540,TFmatrixID_1180,Direct,MYB
AT1G09770,TFmatrixID_0099,Direct,MYB
AT1G09770,TF_motif_seq_0367,Direct,MYB
AT1G09770,TFmatrixID_0524,Direct,MYB
AT1G09770,TFmatrixID_0547,Direct,MYB
AT1G10120,TFmatrixID_0824,Direct,bHLH
AT1G10120,TFmatrixID_0177,Inferred,bHLH
AT1G10120,TFmatrixID_0174,Inferred,bHLH
AT1G10120,TFmatrixID_0179,Inferred,bHLH
AT1G10120,TFmatrixID_0163,Inferred,bHLH
AT1G10120,TFmatrixID_0817,Direct,bHLH
AT1G10120,TFmatrixID_0169,Inferred,bHLH
AT1G10120,TFmatrixID_0161,Inferred,bHLH
AT1G10480,TFmatrixID_0210,Direct,C2H2
AT1G10720,TFmatrixID_0826,Direct,NA
AT1G12260,TFmatrixID_0383,Inferred,NAC
AT1G12260,TFmatrixID_0392,Inferred,NAC
AT1G12260,TFmatrixID_1307,Direct,NAC
AT1G12260,TFmatrixID_0397,Inferred,NAC
AT1G12260,TFmatrixID_1298,Direct,NAC
AT1G12610,TFmatrixID_1614,Direct,ERF
AT1G12610,TFmatrixID_1615,Direct,ERF
AT1G12610,TFmatrixID_0109,Inferred,ERF
AT1G12610,TFmatrixID_1619,Direct,ERF
AT1G12610,TFmatrixID_1618,Direct,ERF
AT1G12610,TFmatrixID_1617,Direct,ERF
AT1G12610,TFmatrixID_0085,Inferred,ERF
AT1G12610,TFmatrixID_0032,Direct,ERF
AT1G12610,TFmatrixID_0727,Direct,ERF
AT1G12610,TFmatrixID_1611,Direct,ERF
AT1G12610,TFmatrixID_0086,Inferred,ERF
AT1G12610,TFmatrixID_1613,Direct,ERF
AT1G12610,TFmatrixID_1616,Direct,ERF
AT1G12610,TFmatrixID_0778,Direct,ERF
AT1G12610,TF_motif_seq_0292,Direct,ERF
AT1G12610,TFmatrixID_1612,Direct,ERF
AT1G12630,TFmatrixID_0670,Direct,ERF
AT1G12630,TFmatrixID_0070,Inferred,ERF
AT1G12630,TFmatrixID_0680,Direct,ERF
AT1G12630,TFmatrixID_0088,Inferred,ERF
AT1G12860,TFmatrixID_0158,Inferred,bHLH
AT1G12890,TFmatrixID_0053,Inferred,ERF
AT1G12890,TFmatrixID_0075,Inferred,ERF
AT1G12890,TFmatrixID_0101,Inferred,ERF
AT1G12980,TFmatrixID_0077,Inferred,ERF
AT1G12980,TFmatrixID_0053,Inferred,ERF
AT1G12980,TFmatrixID_0075,Inferred,ERF
AT1G12980,TFmatrixID_0122,Inferred,ERF
AT1G12980,TFmatrixID_0062,Inferred,ERF
AT1G12980,TFmatrixID_0061,Inferred,ERF
AT1G12980,TFmatrixID_0059,Inferred,ERF
AT1G13260,TF_motif_seq_0299,Direct,RAV
AT1G13260,TFmatrixID_0124,Direct,RAV
AT1G13260,TFmatrixID_1375,Direct,RAV
AT1G13260,TFmatrixID_0560,Direct,RAV
