Gene_ID	Family
Sobic.003G078100	RAV
Sobic.009G221400	RAV
Sobic.003G265200	RAV
Sobic.001G006600	WRKY
Sobic.001G007200	HSF
Sobic.001G009200	NF-YC
Sobic.001G016600	FAR1
Sobic.001G018350	NAC
Sobic.001G018700	NAC
Sobic.001G023900	GATA
Sobic.001G026500	SBP
Sobic.001G030800	NAC
Sobic.001G031000	NAC
Sobic.001G033200	GRAS
Sobic.001G034300	Dof
Sobic.001G040200	NAC
Sobic.001G040900	NAC
Sobic.001G041500	bHLH
Sobic.001G044300	bZIP
Sobic.001G045500	NAC
Sobic.001G051300	bHLH
Sobic.001G055400	WRKY
Sobic.001G056300	bHLH
Sobic.001G056700	bZIP
Sobic.001G057700	HSF
Sobic.001G062700	GATA
Sobic.001G062800	LBD
Sobic.001G066100	TCP
Sobic.001G068301	bHLH
Sobic.001G069400	GeBP
Sobic.001G070600	FAR1
Sobic.001G071000	NAC
Sobic.001G075900	bZIP
Sobic.001G078700	Dof
Sobic.001G079300	bHLH
Sobic.001G082600	bHLH
Sobic.001G083000	WRKY
Sobic.001G084000	WRKY
Sobic.001G093200	HSF
Sobic.001G095500	WRKY
Sobic.001G095700	bHLH
Sobic.001G100100	GATA
Sobic.001G105000	bHLH
Sobic.001G107400	bHLH
Sobic.001G109100	GRAS
Sobic.001G112500	ZF-HD
Sobic.001G119700	GeBP
Sobic.001G120900	GRAS
Sobic.001G121600	TCP
Sobic.001G127800	NF-YA
Sobic.001G135400	GATA
Sobic.001G137300	GATA
Sobic.001G139200	bZIP
Sobic.001G140800	bHLH
Sobic.001G140900	bHLH
Sobic.001G141100	bHLH
Sobic.001G143400	Trihelix
Sobic.001G147000	LBD
Sobic.001G148000	WRKY
Sobic.001G149000	FAR1
Sobic.001G152901	YABBY
Sobic.001G154500	NF-YA
Sobic.001G158900	bHLH
Sobic.001G159500	CPP
Sobic.001G162100	WRKY
Sobic.001G163800	NAC
Sobic.001G166200	Dof
Sobic.001G166700	bHLH
Sobic.001G167600	LBD
Sobic.001G169200	LBD
Sobic.001G174100	GRAS
Sobic.001G174200	GRAS
Sobic.001G174300	GRAS
Sobic.001G174500	GRAS
Sobic.001G179300	Dof
Sobic.001G181100	GRAS
Sobic.001G194600	Trihelix
Sobic.001G195550	FAR1
Sobic.001G199200	YABBY
Sobic.001G206300	Dof
Sobic.001G229200	GATA
Sobic.001G237600	E2F/DP
Sobic.001G243000	HSF
Sobic.001G243800	bZIP
Sobic.001G249800	NAC
Sobic.001G252800	Dof
Sobic.001G254100	bHLH
Sobic.001G261448	bHLH
Sobic.001G261501	CAMTA
Sobic.001G261700	LBD
Sobic.001G271100	bHLH
Sobic.001G278300	bHLH
Sobic.001G278500	bHLH
Sobic.001G282400	WRKY
Sobic.001G287600	bHLH
Sobic.001G290400	NAC
Sobic.001G294700	Trihelix
Sobic.001G299600	GATA
Sobic.001G299800	bHLH
Sobic.001G300201	bHLH
Sobic.001G304500	GRAS
Sobic.001G316800	NAC
Sobic.001G316900	bZIP
Sobic.001G327900	GRAS
Sobic.001G328500	LBD
Sobic.001G332500	WRKY
Sobic.001G338600	LBD
Sobic.001G338700	NF-YB
Sobic.001G340200	NF-YA
Sobic.001G341400	GRAS
Sobic.001G349700	bHLH
Sobic.001G350300	bHLH
Sobic.001G351700	CAMTA
Sobic.001G355600	bHLH
Sobic.001G359800	GeBP
Sobic.001G360300	NAC
Sobic.001G361100	HSF
Sobic.001G380700	bZIP
Sobic.001G381300	WRKY
Sobic.001G385800	NAC
Sobic.001G386000	NAC
Sobic.001G387600	EIL
Sobic.001G388300	bZIP
Sobic.001G389000	WRKY
Sobic.001G390800	bZIP
Sobic.001G396400	bZIP
Sobic.001G405150	Trihelix
Sobic.001G405200	Trihelix
Sobic.001G409200	LBD
Sobic.001G420300	Dof
Sobic.001G421900	GRAS
Sobic.001G428600	GRAS
Sobic.001G430000	bHLH
Sobic.001G433000	FAR1
Sobic.001G433300	FAR1
Sobic.001G435500	NF-YC
Sobic.001G437300	LBD
Sobic.001G441400	bZIP
Sobic.001G446500	bHLH
Sobic.001G447800	bHLH
Sobic.001G450700	HSF
Sobic.001G453000	NAC
Sobic.001G456000	YABBY
Sobic.001G464300	bHLH
Sobic.001G472600	GRAS
Sobic.001G474600	CAMTA
Sobic.001G476500	bHLH
Sobic.001G482200	FAR1
Sobic.001G486000	NF-YA
Sobic.001G488400	bHLH
Sobic.001G488600	bHLH
Sobic.001G489900	Dof
Sobic.001G496200	HSF
Sobic.001G496600	STAT
Sobic.001G501000	E2F/DP
Sobic.001G503000	LBD
Sobic.001G503100	LBD
Sobic.001G506066	GATA
Sobic.001G511400	BES1
Sobic.001G513700	bHLH
Sobic.001G515800	NAC
Sobic.001G517800	Nin-like
Sobic.001G518900	bHLH
Sobic.001G522500	bZIP
Sobic.001G522700	NAC
Sobic.001G527500	bHLH
Sobic.001G529200	NAC
Sobic.001G534300	Trihelix
Sobic.002G008600	WRKY
Sobic.002G018250	GATA
Sobic.002G021300	bZIP
Sobic.002G029400	NAC
Sobic.002G030400	FAR1
Sobic.002G031000	bHLH
Sobic.002G035500	TCP
Sobic.002G038500	NF-YA
Sobic.002G039400	YABBY
Sobic.002G039900	LBD
Sobic.002G040100	bHLH
Sobic.002G050700	CPP
Sobic.002G051900	HSF
Sobic.002G052800	FAR1
Sobic.002G054600	bHLH
Sobic.002G054800	bZIP
Sobic.002G055000	bZIP
Sobic.002G068100	bHLH
Sobic.002G076100	bZIP
Sobic.002G076600	bHLH
Sobic.002G078850	EIL
Sobic.002G080100	NAC
Sobic.002G096700	NAC
Sobic.002G104400	WRKY
Sobic.002G112850	FAR1
Sobic.002G114000	BBR-BPC
